[2026-04-08 18:34:38] IP:SERVER:0 PID:5127 USER:NONE CMD:START RESULT:OK
[2026-04-08 18:35:26] IP:127.0.0.1:55016 PID:5143 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:37:05] IP:127.0.0.1:55016 PID:5143 USER:mayu CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:37:38] IP:127.0.0.1:55016 PID:5143 USER:mayu CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:38:08] IP:127.0.0.1:55016 PID:5143 USER:admin CMD:REGISTER RESULT:OK
[2026-04-08 18:38:35] IP:127.0.0.1:55016 PID:5143 USER:admin CMD:LOGIN RESULT:OK
[2026-04-08 18:38:48] IP:127.0.0.1:55016 PID:5143 USER:admin CMD:LOGOUT RESULT:OK
[2026-04-08 18:39:14] IP:127.0.0.1:55016 PID:5143 USER:mayu CMD:LOGIN RESULT:OK
[2026-04-08 18:39:23] IP:127.0.0.1:55016 PID:5143 USER:mayu CMD:WHOAMI RESULT:OK
[2026-04-08 18:39:29] IP:127.0.0.1:55016 PID:5143 USER:mayu CMD:STATUS RESULT:OK
[2026-04-08 18:39:45] IP:127.0.0.1:55016 PID:5143 USER:mayu CMD:LOGOUT RESULT:OK
[2026-04-08 18:39:51] IP:127.0.0.1:55016 PID:5143 USER:NONE CMD:QUIT RESULT:OK
[2026-04-08 18:39:51] IP:127.0.0.1:55016 PID:5143 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45810 PID:5216 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45814 PID:5218 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45822 PID:5220 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45822 PID:5220 USER:user3 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45810 PID:5216 USER:user1 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45828 PID:5222 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45828 PID:5222 USER:user4 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45814 PID:5218 USER:user2 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45828 PID:5222 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45810 PID:5216 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45836 PID:5224 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45836 PID:5224 USER:user5 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45850 PID:5226 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45822 PID:5220 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45850 PID:5226 USER:user6 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45860 PID:5230 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45814 PID:5218 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45876 PID:5231 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45876 PID:5231 USER:user7 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45850 PID:5226 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45892 PID:5232 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45860 PID:5230 USER:user9 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45836 PID:5224 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45860 PID:5230 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45892 PID:5232 USER:user8 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45876 PID:5231 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45906 PID:5234 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45892 PID:5232 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:41:23] IP:127.0.0.1:45906 PID:5234 USER:user10 CMD:REGISTER RESULT:ERR:EXISTS
[2026-04-08 18:41:23] IP:127.0.0.1:45906 PID:5234 USER:NONE CMD:DISCONNECT RESULT:OK
[2026-04-08 18:50:59] IP:SERVER:0 PID:5507 USER:NONE CMD:START RESULT:OK
[2026-04-08 18:51:07] IP:127.0.0.1:36124 PID:5510 USER:NONE CMD:CONNECT RESULT:OK
[2026-04-08 18:51:20] IP:127.0.0.1:36124 PID:5510 USER:mayu CMD:REGISTER RESULT:OK
[2026-04-08 18:51:30] IP:127.0.0.1:36124 PID:5510 USER:NONE CMD:quit RESULT:ERR:UNKNOWN
[2026-04-08 18:51:30] IP:127.0.0.1:36124 PID:5510 USER:NONE CMD:DISCONNECT RESULT:OK
